15800	Nikkei 225 Bear -1x ETF	0109	014	
15850	iFreeETF TOPIX Ex-Financials	0109	014	
15860	Listed Index Fund TOPIX Ex-Financials	0109	014	
158A0	Exseli Co,Ltd.	0105	011	
15910	NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund	0109	014	
15920	Listed Index Fund JPX-Nikkei Index 400	0109	014	
15930	MAXIS JPX-Nikkei Index 400 ETF	0109	014	
15950	NZAM ETF J-REIT Index	0109	014	
15960	NZAM ETF TOPIX Ex-Financials	0109	014	
15970	MAXIS J-REIT ETF	0109	014	
15990	iFreeETF JPX-Nikkei400	0109	014	
159A0	NEXT FUNDS JPX Prime 150 Index Exchange Traded Fund	0109	014	
16050	INPEX CORPORATION	0111	011	
160A0	As Partners CO.,LTD.	0112	011	
16150	NEXT FUNDS TOPIX Banks Exchange Traded Fund	0109	014	
16170	NEXT FUNDS TOPIX-17 FOODS ETF	0109	014	
16180	NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF	0109	014	
16190	NEXT FUNDS TOPIX-17 CONSTRUCTION & MATERIALS ETF	0109	014	
161A0	Mitsuba Co.,Ltd.	0105	011	
16200	NEXT FUNDS TOPIX-17 RAW MATERIALS & CHEMICALS ETF	0109	014	
16210	NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF	0109	014	
16220	NEXT FUNDS TOPIX-17 AUTOMOBILES TRANSPORTATION EQUIPMENT ETF	0109	014	
16230	NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF	0109	014	
16240	NEXT FUNDS TOPIX-17 MACHINERY ETF	0109	014	
16250	NEXT FUNDS TOPIX-17 ELECTRIC & PRECISION INSTRUMENTS ETF	0109	014	
16260	NEXT FUNDS TOPIX-17 IT & SERVICES,OTHERS ETF	0109	014	
16270	NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF	0109	014	
16280	NEXT FUNDS TOPIX-17 TRANSPORTATION & LOGISTICS ETF	0109	014	
